"placeCode","placeName","stateCode","lat","lng","coverImage"
"BHADRACHALAM","Bhadrachalam, Andhra Pradesh","TELANGANA",17.6687912,80.8935925,"https://www.holidify.com/images/bgImages/BHADRACHALAM.jpg"
"BHAGALPUR","Bhagalpur","BIHAR",25.3478004,86.9824288,"https://www.holidify.com/images/bgImages/BHAGALPUR.jpg"
"BHALUKPONG","Bhalukpong, Arunachal Pradesh","ARUNACHAL-PRADESH",27.0105311,92.6462262,"https://www.holidify.com/images/bgImages/BHALUKPONG.jpg"
"BHAMRAGAD","Bhamragarh Wildlife Sanctuary, Maharashtra","MAHARASHTRA-GOA",19.4148142,80.5896685,"https://www.holidify.com/images/bgImages/BHAMRAGAD.jpg"
"BHANDARDARA","Bhandardara, Maharashtra","MAHARASHTRA-GOA",19.5375291,73.7694815,"https://www.holidify.com/images/bgImages/BHANDARDARA.jpg"
"BHARATPUR","Bharatpur, Rajasthan","RAJASTHAN",27.215599,77.49015,"https://www.holidify.com/images/bgImages/BHARATPUR.jpg"
"BHATINDA","Bhatinda, Punjab","PUNJAB",30.210994,74.9454745,"https://www.holidify.com/images/bgImages/BHATINDA.jpg"
"BHAVNAGAR","Bhavnagar, Gujarat","GUJARAT",21.7644725,72.1519304,"https://www.holidify.com/images/bgImages/BHAVNAGAR.jpg"
"BHEDAGHAT","Bhedaghat, Madhya Pradesh","MADHYA-PRADESH",23.1246095,79.8181564,"https://www.holidify.com/images/bgImages/BHEDAGHAT.jpg"
"BHEEMESHWARI","Bheemeshwari, Karnataka","KARNATAKA",12.3112108,77.2789467,"https://www.holidify.com/images/bgImages/BHEEMESHWARI.jpg"
"BHILAI","Bhilai, Chattisgarh","CHATTISGARH",21.21,81.38,"https://www.holidify.com/images/bgImages/BHILAI.jpg"
"BHIMASHANKAR","Bhimashankar, Maharashtra","MAHARASHTRA-GOA",19.0719691,73.5356936,"https://www.holidify.com/images/bgImages/BHIMASHANKAR.jpg"
"BHIMBETKA","Bhimbetka, Madhya Pradesh","MADHYA-PRADESH",22.9395461,77.6124331,"https://www.holidify.com/images/bgImages/BHIMBETKA.jpg"
